number of goals,team,month,day,hour,day of week,possession,possession in contest,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied
0,POLAND,11,30,20,2,0.3,0.14,8.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,2.0,4.0,8.0,13.0,428.0,140.0,164.0,124.0,14.0,150.0,0.0,22.0,0.0,3.0,0.0,18.0,0.0,303.0,236.0,19.0,8.0,5.0,4.0,15.0,0.0,16.0,0.0,69.0,329.0
1,SAUDI ARABIA,11,30,20,2,0.57,0.14,16.0,2.0,0.0,0.0,0.0,5.0,9.0,9.0,7.0,21.0,6.0,5.0,7.0,15.0,661.0,156.0,264.0,241.0,22.0,205.0,153.0,27.0,19.0,2.0,0.0,15.0,0.0,560.0,494.0,24.0,4.0,13.0,5.0,17.0,0.0,9.0,0.0,53.0,173.0
2,MEXICO,11,30,20,2,0.36,0.14,4.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,8.0,1.0,1.0,2.0,11.0,373.0,78.0,151.0,144.0,5.0,127.0,66.0,13.0,5.0,4.0,0.0,19.0,4.0,356.0,287.0,17.0,4.0,2.0,2.0,17.0,0.0,5.0,0.0,79.0,327.0
0,CROATIA,12,1,16,3,0.41,0.13,13.0,1.0,3.0,1.0,4.0,10.0,2.0,0.0,4.0,7.0,3.0,3.0,3.0,3.0,573.0,113.0,256.0,204.0,15.0,193.0,0.0,24.0,0.0,2.0,0.0,13.0,1.0,462.0,391.0,22.0,5.0,6.0,5.0,8.0,0.0,9.0,0.0,87.0,347.0
0,BELGIUM,12,1,16,3,0.56,0.12,10.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,5.0,12.0,8.0,3.0,4.0,9.0,732.0,144.0,211.0,377.0,4.0,149.0,0.0,13.0,0.0,1.0,0.0,10.0,3.0,671.0,598.0,19.0,3.0,6.0,9.0,17.0,0.0,11.0,0.0,38.0,194.0
2,MOROCCO,12,1,16,3,0.32,0.12,11.0,0.0,2.0,0.0,2.0,4.0,6.0,6.0,5.0,10.0,3.0,2.0,1.0,11.0,441.0,109.0,173.0,159.0,7.0,125.0,89.0,11.0,8.0,1.0,0.0,14.0,3.0,317.0,275.0,9.0,4.0,10.0,1.0,13.0,0.0,10.0,0.0,78.0,360.0
1,CANADA,12,1,16,3,0.46,0.13,9.0,4.0,1.0,0.0,1.0,2.0,3.0,2.0,7.0,8.0,4.0,3.0,4.0,13.0,592.0,121.0,247.0,224.0,6.0,201.0,134.0,15.0,6.0,2.0,0.0,5.0,3.0,511.0,434.0,15.0,5.0,7.0,2.0,14.0,0.0,13.0,0.0,72.0,316.0
1,SPAIN,12,1,20,3,0.56,0.11,7.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,4.0,12.0,3.0,2.0,1.0,5.0,633.0,90.0,270.0,273.0,16.0,186.0,0.0,19.0,0.0,1.0,0.0,13.0,2.0,647.0,565.0,9.0,2.0,9.0,6.0,16.0,0.0,11.0,0.0,79.0,275.0
2,JAPAN,12,1,20,3,0.48,0.13,14.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,28.0,6.0,9.0,3.0,10.0,699.0,176.0,255.0,268.0,5.0,158.0,0.0,22.0,0.0,3.0,0.0,22.0,0.0,575.0,510.0,17.0,1.0,2.0,5.0,11.0,0.0,4.0,0.0,47.0,300.0
2,COSTA RICA,12,1,20,3,0.39,0.13,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,8.0,0.0,3.0,1.0,4.0,429.0,77.0,177.0,175.0,1.0,154.0,85.0,4.0,0.0,3.0,0.0,9.0,2.0,444.0,371.0,5.0,0.0,7.0,0.0,22.0,0.0,14.0,0.0,66.0,294.0
4,GERMANY,12,1,20,3,0.33,0.11,10.0,1.0,1.0,0.0,1.0,4.0,5.0,7.0,3.0,3.0,3.0,4.0,3.0,8.0,440.0,108.0,177.0,155.0,9.0,143.0,83.0,17.0,7.0,3.0,0.0,11.0,5.0,352.0,281.0,13.0,1.0,2.0,5.0,15.0,0.0,7.0,0.0,101.0,387.0
0,GHANA,12,2,16,4,0.32,0.15,8.0,2.0,3.0,0.0,2.0,3.0,3.0,7.0,1.0,8.0,3.0,4.0,3.0,7.0,389.0,72.0,157.0,160.0,5.0,122.0,66.0,12.0,5.0,2.0,0.0,9.0,1.0,319.0,260.0,13.0,4.0,3.0,5.0,14.0,0.0,21.0,0.0,75.0,324.0
2,URUGUAY,12,2,16,4,0.35,0.12,10.0,2.0,0.0,0.0,0.0,3.0,6.0,6.0,4.0,13.0,8.0,4.0,5.0,9.0,413.0,115.0,155.0,143.0,6.0,150.0,86.0,17.0,11.0,2.0,0.0,16.0,0.0,390.0,306.0,18.0,5.0,2.0,2.0,13.0,0.0,14.0,0.0,81.0,362.0
2,KOREA REPUBLIC,12,2,16,4,0.53,0.15,21.0,3.0,2.0,0.0,2.0,6.0,8.0,0.0,6.0,22.0,5.0,6.0,8.0,27.0,695.0,175.0,234.0,286.0,19.0,201.0,0.0,24.0,0.0,2.0,0.0,13.0,1.0,540.0,477.0,46.0,16.0,16.0,12.0,10.0,0.0,8.0,0.0,53.0,220.0
1,PORTUGAL,12,2,16,4,0.53,0.12,14.0,0.0,1.0,1.0,0.0,4.0,7.0,0.0,10.0,17.0,9.0,4.0,9.0,11.0,752.0,142.0,327.0,283.0,11.0,170.0,0.0,11.0,0.0,3.0,0.0,10.0,2.0,596.0,517.0,16.0,4.0,9.0,6.0,15.0,1.0,11.0,0.0,68.0,226.0
2,SERBIA,12,2,20,4,0.49,0.13,16.0,3.0,2.0,1.0,3.0,6.0,8.0,11.0,5.0,20.0,4.0,16.0,5.0,12.0,583.0,124.0,261.0,198.0,11.0,184.0,122.0,22.0,12.0,2.0,0.0,13.0,4.0,513.0,433.0,23.0,4.0,5.0,3.0,8.0,0.0,13.0,0.0,81.0,234.0
3,SWITZERLAND,12,2,20,4,0.4,0.09,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,3.0,4.0,6.0,10.0,568.0,128.0,212.0,228.0,4.0,173.0,100.0,17.0,4.0,1.0,0.0,17.0,1.0,488.0,415.0,11.0,3.0,2.0,3.0,13.0,0.0,9.0,0.0,80.0,344.0
0,BRAZIL,12,2,20,4,0.51,0.09,9.0,0.0,1.0,0.0,1.0,5.0,2.0,0.0,3.0,19.0,12.0,5.0,5.0,11.0,659.0,154.0,218.0,287.0,16.0,164.0,0.0,20.0,0.0,1.0,0.0,10.0,3.0,565.0,498.0,26.0,3.0,6.0,8.0,18.0,0.0,4.0,0.0,85.0,282.0
1,CAMEROON,12,2,20,4,0.38,0.13,13.0,3.0,3.0,0.0,3.0,8.0,3.0,0.0,4.0,5.0,3.0,5.0,4.0,15.0,419.0,103.0,149.0,167.0,15.0,173.0,0.0,22.0,0.0,2.0,0.0,8.0,0.0,364.0,271.0,20.0,1.0,5.0,4.0,17.0,0.0,16.0,0.0,83.0,285.0
3,NETHERLANDS,12,3,16,5,0.54,0.08,13.0,0.0,2.0,0.0,1.0,4.0,5.0,0.0,3.0,25.0,9.0,8.0,11.0,21.0,785.0,157.0,322.0,306.0,16.0,185.0,0.0,13.0,0.0,1.0,0.0,19.0,4.0,795.0,740.0,11.0,1.0,1.0,4.0,9.0,0.0,5.0,0.0,62.0,319.0
1,UNITED STATES,12,3,16,5,0.45,0.13,12.0,0.0,1.0,0.0,1.0,5.0,4.0,8.0,4.0,11.0,7.0,7.0,5.0,17.0,697.0,133.0,262.0,302.0,17.0,185.0,133.0,27.0,16.0,1.0,0.0,10.0,1.0,470.0,413.0,22.0,2.0,8.0,5.0,15.0,0.0,6.0,0.0,74.0,302.0
2,ARGENTINA,12,3,20,5,0.67,0.09,25.0,0.0,2.0,0.0,2.0,13.0,8.0,21.0,4.0,25.0,8.0,7.0,10.0,26.0,907.0,175.0,282.0,450.0,21.0,214.0,188.0,25.0,19.0,1.0,0.0,11.0,0.0,862.0,814.0,22.0,5.0,11.0,9.0,5.0,0.0,4.0,0.0,48.0,141.0
1,AUSTRALIA,12,3,20,5,0.24,0.16,8.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,5.0,9.0,2.0,2.0,1.0,11.0,302.0,88.0,114.0,100.0,8.0,166.0,0.0,17.0,0.0,2.0,0.0,11.0,1.0,286.0,187.0,11.0,2.0,1.0,2.0,13.0,0.0,14.0,0.0,90.0,341.0
3,FRANCE,12,4,16,6,0.56,0.14,9.0,1.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,14.0,6.0,5.0,3.0,21.0,630.0,96.0,212.0,322.0,11.0,138.0,99.0,10.0,4.0,0.0,0.0,6.0,2.0,636.0,566.0,20.0,5.0,3.0,8.0,17.0,0.0,6.0,0.0,80.0,202.0
1,POLAND,12,4,16,6,0.24,0.09,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,2.0,1.0,2.0,3.0,328.0,62.0,126.0,140.0,2.0,117.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,321.0,261.0,5.0,2.0,8.0,1.0,12.0,0.0,25.0,0.0,67.0,438.0
3,ENGLAND,12,4,20,6,0.58,0.1,17.0,0.0,2.0,1.0,2.0,7.0,6.0,13.0,4.0,10.0,4.0,7.0,12.0,9.0,777.0,140.0,310.0,327.0,9.0,167.0,131.0,13.0,8.0,0.0,0.0,9.0,1.0,588.0,529.0,17.0,7.0,6.0,6.0,17.0,0.0,8.0,0.0,56.0,167.0
0,SENEGAL,12,4,20,6,0.32,0.17,15.0,1.0,2.0,0.0,0.0,5.0,8.0,11.0,4.0,14.0,0.0,2.0,7.0,10.0,268.0,76.0,115.0,77.0,12.0,153.0,84.0,20.0,12.0,1.0,0.0,11.0,3.0,269.0,198.0,20.0,5.0,6.0,6.0,22.0,1.0,8.0,0.0,62.0,243.0
1,JAPAN,12,5,16,0,0.14,0.08,6.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,5.0,315.0,77.0,106.0,132.0,10.0,104.0,0.0,14.0,0.0,3.0,0.0,9.0,2.0,225.0,167.0,6.0,3.0,2.0,0.0,8.0,0.0,14.0,0.0,85.0,637.0
1,CROATIA,12,5,16,0,0.43,0.1,11.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,23.0,7.0,3.0,2.0,12.0,650.0,124.0,338.0,188.0,17.0,204.0,0.0,23.0,0.0,0.0,0.0,7.0,4.0,578.0,504.0,24.0,6.0,18.0,2.0,9.0,0.0,16.0,0.0,70.0,328.0
4,BRAZIL,12,5,20,0,0.56,0.13,19.0,1.0,0.0,0.0,0.0,6.0,11.0,14.0,5.0,20.0,5.0,6.0,7.0,13.0,643.0,145.0,328.0,170.0,9.0,181.0,145.0,15.0,9.0,2.0,0.0,14.0,1.0,548.0,491.0,28.0,8.0,3.0,11.0,14.0,0.0,7.0,0.0,54.0,226.0
1,KOREA REPUBLIC,12,5,20,0,0.34,0.11,12.0,1.0,2.0,0.0,1.0,6.0,4.0,0.0,6.0,9.0,7.0,5.0,2.0,7.0,470.0,93.0,186.0,191.0,8.0,139.0,0.0,11.0,0.0,2.0,0.0,9.0,1.0,359.0,304.0,13.0,3.0,9.0,5.0,15.0,0.0,14.0,0.0,54.0,359.0
0,SPAIN,12,6,16,1,0.78,0.08,14.0,2.0,1.0,0.0,1.0,5.0,3.0,7.0,7.0,30.0,9.0,6.0,11.0,22.0,1138.0,174.0,286.0,678.0,17.0,190.0,140.0,21.0,15.0,0.0,0.0,6.0,2.0,1070.0,992.0,20.0,2.0,9.0,2.0,11.0,0.0,6.0,0.0,49.0,150.0
0,MOROCCO,12,6,16,1,0.36,0.12,7.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,6.0,0.0,3.0,4.0,5.0,493.0,78.0,227.0,188.0,8.0,147.0,85.0,16.0,7.0,0.0,0.0,14.0,4.0,384.0,308.0,7.0,1.0,14.0,2.0,18.0,0.0,7.0,1.0,72.0,324.0
1,SWITZERLAND,12,6,20,1,0.41,0.14,14.0,2.0,3.0,0.0,3.0,7.0,3.0,10.0,4.0,14.0,7.0,3.0,1.0,12.0,456.0,108.0,193.0,155.0,10.0,157.0,95.0,20.0,8.0,4.0,0.0,13.0,0.0,403.0,325.0,13.0,4.0,9.0,0.0,18.0,0.0,10.0,0.0,82.0,253.0
6,PORTUGAL,12,6,20,1,0.55,0.11,12.0,2.0,1.0,0.0,1.0,4.0,6.0,5.0,7.0,23.0,7.0,5.0,8.0,12.0,740.0,159.0,195.0,386.0,12.0,178.0,123.0,21.0,12.0,0.0,0.0,11.0,5.0,606.0,541.0,22.0,6.0,11.0,4.0,10.0,0.0,12.0,0.0,50.0,233.0
1,BRAZIL,12,9,16,4,0.47,0.09,18.0,1.0,4.0,0.0,3.0,9.0,8.0,0.0,4.0,20.0,5.0,5.0,7.0,15.0,666.0,149.0,257.0,260.0,17.0,193.0,0.0,21.0,0.0,0.0,0.0,8.0,0.0,616.0,556.0,18.0,4.0,9.0,5.0,16.0,1.0,10.0,0.0,73.0,310.0
1,CROATIA,12,9,16,4,0.51,0.14,16.0,1.0,1.0,0.0,1.0,4.0,8.0,9.0,7.0,18.0,7.0,9.0,6.0,28.0,717.0,175.0,247.0,295.0,14.0,232.0,132.0,20.0,11.0,2.0,0.0,16.0,0.0,735.0,624.0,35.0,9.0,7.0,5.0,16.0,0.0,11.0,0.0,100.0,308.0
2,ARGENTINA,12,9,20,4,0.53,0.12,14.0,1.0,2.0,0.0,1.0,5.0,7.0,0.0,3.0,15.0,6.0,11.0,2.0,17.0,869.0,131.0,337.0,401.0,8.0,181.0,0.0,16.0,0.0,0.0,0.0,8.0,4.0,711.0,635.0,6.0,1.0,5.0,1.0,15.0,0.0,5.0,1.0,67.0,240.0
2,NETHERLANDS,12,9,20,4,0.33,0.13,11.0,1.0,3.0,0.0,3.0,6.0,4.0,0.0,4.0,4.0,2.0,4.0,7.0,10.0,404.0,73.0,200.0,131.0,8.0,161.0,0.0,17.0,0.0,2.0,0.0,10.0,0.0,396.0,320.0,13.0,4.0,4.0,4.0,8.0,0.0,18.0,0.0,101.0,325.0
1,MOROCCO,12,10,16,5,0.22,0.1,6.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,11.0,1.0,0.0,2.0,8.0,438.0,103.0,176.0,159.0,10.0,164.0,0.0,22.0,0.0,1.0,0.0,15.0,5.0,323.0,229.0,10.0,4.0,4.0,0.0,18.0,0.0,14.0,0.0,100.0,573.0
0,PORTUGAL,12,10,16,5,0.43,0.09,14.0,1.0,6.0,0.0,5.0,9.0,2.0,0.0,5.0,8.0,3.0,6.0,6.0,8.0,614.0,134.0,241.0,239.0,9.0,165.0,0.0,16.0,0.0,0.0,0.0,12.0,3.0,461.0,392.0,14.0,6.0,7.0,6.0,13.0,0.0,10.0,0.0,71.0,357.0
1,ENGLAND,12,10,20,5,0.54,0.11,8.0,0.0,3.0,0.0,3.0,4.0,4.0,0.0,1.0,17.0,6.0,2.0,2.0,13.0,794.0,140.0,276.0,378.0,11.0,184.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,597.0,523.0,19.0,7.0,11.0,3.0,12.0,0.0,10.0,0.0,60.0,230.0
2,FRANCE,12,10,20,5,0.48,0.1,16.0,1.0,3.0,0.0,3.0,7.0,7.0,0.0,6.0,15.0,7.0,2.0,9.0,19.0,568.0,118.0,207.0,243.0,14.0,174.0,0.0,26.0,0.0,1.0,0.0,10.0,3.0,540.0,481.0,27.0,4.0,4.0,7.0,8.0,0.0,11.0,0.0,71.0,220.0
0,CROATIA,12,13,20,1,0.45,0.1,9.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,19.0,4.0,2.0,5.0,27.0,674.0,156.0,250.0,268.0,10.0,240.0,0.0,16.0,0.0,2.0,0.0,22.0,3.0,715.0,632.0,22.0,5.0,13.0,3.0,27.0,0.0,21.0,0.0,95.0,365.0
3,ARGENTINA,12,13,20,1,0.44,0.11,15.0,2.0,2.0,0.0,1.0,6.0,8.0,5.0,10.0,7.0,7.0,13.0,6.0,17.0,644.0,97.0,278.0,269.0,7.0,203.0,122.0,24.0,8.0,8.0,0.0,18.0,2.0,603.0,511.0,16.0,4.0,4.0,8.0,30.0,1.0,5.0,0.0,79.0,323.0
2,FRANCE,12,14,20,2,0.36,0.1,9.0,1.0,1.0,1.0,2.0,5.0,3.0,6.0,3.0,15.0,2.0,7.0,2.0,13.0,401.0,84.0,136.0,181.0,7.0,136.0,87.0,14.0,8.0,3.0,0.0,14.0,2.0,369.0,310.0,13.0,6.0,2.0,2.0,11.0,0.0,15.0,0.0,54.0,308.0
0,MOROCCO,12,14,20,2,0.22,0.13,9.0,0.0,1.0,0.0,1.0,3.0,6.0,0.0,4.0,4.0,1.0,4.0,1.0,3.0,339.0,68.0,150.0,121.0,6.0,128.0,0.0,13.0,0.0,3.0,1.0,15.0,2.0,229.0,171.0,8.0,3.0,4.0,3.0,11.0,0.0,11.0,0.0,88.0,373.0
1,MOROCCO,12,17,16,5,0.55,0.11,13.0,2.0,0.0,0.0,0.0,1.0,6.0,8.0,5.0,10.0,4.0,6.0,6.0,19.0,702.0,136.0,314.0,252.0,15.0,141.0,95.0,18.0,11.0,1.0,0.0,11.0,3.0,583.0,518.0,22.0,1.0,8.0,3.0,15.0,0.0,14.0,0.0,47.0,218.0
2,CROATIA,12,17,16,5,0.54,0.12,12.0,3.0,0.0,0.0,0.0,3.0,7.0,6.0,6.0,18.0,6.0,7.0,4.0,8.0,643.0,136.0,291.0,216.0,3.0,182.0,129.0,9.0,1.0,2.0,0.0,8.0,0.0,624.0,551.0,20.0,4.0,8.0,4.0,16.0,0.0,10.0,0.0,63.0,260.0
3,ARGENTINA,12,18,16,6,0.34,0.12,10.0,0.0,3.0,0.0,1.0,7.0,2.0,0.0,3.0,8.0,9.0,7.0,3.0,2.0,349.0,89.0,122.0,138.0,7.0,147.0,0.0,17.0,0.0,2.0,0.0,15.0,1.0,408.0,344.0,8.0,2.0,4.0,2.0,6.0,1.0,12.0,0.0,85.0,321.0
3,FRANCE,12,18,16,6,0.34,0.11,14.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0,2.0,9.0,6.0,3.0,2.0,6.0,330.0,82.0,99.0,149.0,8.0,126.0,0.0,12.0,0.0,0.0,0.0,11.0,4.0,358.0,307.0,5.0,2.0,1.0,2.0,13.0,0.0,13.0,0.0,72.0,328.0
